ride_id,start_time,end_time,start_station,start_lat,start_lng,end_station,end_lat,end_lng
BB20200701-0000,2020-07-01 11:09:00,2020-07-01 11:46:00,TD Garden,42.366200,-71.062100,South Station,42.352300,-71.055200
BB20200701-0001,2020-07-01 13:10:00,2020-07-01 13:24:00,TD Garden,42.366200,-71.062100,South Station,42.352300,-71.055200
BB20200701-0002,2020-07-01 14:45:00,2020-07-01 15:18:00,Central Sq - Mass Ave,42.365100,-71.103900,Central Sq - Mass Ave,42.365100,-71.103900
BB20200701-0003,2020-07-01 09:04:00,2020-07-01 09:12:00,South Station,42.352300,-71.055200,Central Sq - Mass Ave,42.365100,-71.103900
BB20200701-0004,2020-07-01 08:30:00,2020-07-01 09:04:00,Central Sq - Mass Ave,42.365100,-71.103900,South Station,42.352300,-71.055200
BB20200701-0005,2020-07-01 11:20:00,2020-07-01 11:58:00,MIT Stata Center,42.361400,-71.090300,TD Garden,42.366200,-71.062100
BB20200701-0006,2020-07-01 09:27:00,2020-07-01 10:01:00,South Station,42.352300,-71.055200,MIT Stata Center,42.361400,-71.090300
BB20200701-0007,2020-07-01 09:25:00,2020-07-01 09:46:00,MIT Stata Center,42.361400,-71.090300,TD Garden,42.366200,-71.062100
BB20200701-0008,2020-07-01 08:30:00,2020-07-01 08:39:00,MIT Stata Center,42.361400,-71.090300,South Station,42.352300,-71.055200
BB20200701-0009,2020-07-01 12:57:00,2020-07-01 13:26:00,Central Sq - Mass Ave,42.365100,-71.103900,TD Garden,42.366200,-71.062100
BB20200701-0010,2020-07-01 08:00:00,2020-07-01 08:18:00,Central Sq - Mass Ave,42.365100,-71.103900,Central Sq - Mass Ave,42.365100,-71.103900
BB20200701-0011,2020-07-01 14:46:00,2020-07-01 15:17:00,South Station,42.352300,-71.055200,Central Sq - Mass Ave,42.365100,-71.103900
BB20200701-0012,2020-07-01 12:36:00,2020-07-01 13:02:00,Central Sq - Mass Ave,42.365100,-71.103900,South Station,42.352300,-71.055200
BB20200701-0013,2020-07-01 14:59:00,2020-07-01 15:11:00,Central Sq - Mass Ave,42.365100,-71.103900,MIT Stata Center,42.361400,-71.090300
